Code,Omschrijving,Familienaam,Familie,Voorraad Begin,Commentaar,Cat. 1,Cat. 2,Cat. 3,"Prijs
Verlies of
kapot",,Invulsheet,,,,,
114,Koffieperculator 100 cups,Elektrischmateriaal,4,0,,- € ,,5.00 € ,- € ,,Err:508,,,,,
115,Warmhoudpot 10L,Kookmateriaal,1,5,,- € ,- € ,- € ,- € ,,Err:508,,,,,
116,Warmhoudpot 25L,Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
117,Microgolf,Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
118,Ruimtestraler op gas,Kampeermateriaal,9,2,Voor kleine gasfles,- € ,- € ,- € ,- € ,,Err:508,,,,,
200,BBQ Tangenset,Kookmateriaal,1,1,tang te kort,- € ,- € ,- € ,- € ,,Err:508,,,,,
201,Staafmixer vast,Kookmateriaal,1,1,,,,,,,Err:508,,,,,
202,Staafmixer en -klopper,Kookmateriaal,1,1,,- € ,1.00 € ,2.50 € ,- € ,,Err:508,,,,,
203,Professionele tafel blikopener,Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
204,Groot frituurschepnet,Kookmateriaal,1,4,,,,,,,Err:508,,,,,
205,Placemats,Kookmateriaal,1,4,,,,,,,Err:508,,,,,
206,Snijplank Groen,Kookmateriaal,1,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
207,Snijplank Geel,Kookmateriaal,1,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
208,Snijplank Rood,Kookmateriaal,1,2,,,,,,,Err:508,,,,,
209,Snijplank Bruin,Kookmateriaal,1,2,,,,,,,Err:508,,,,,
210,Snijplank Blauw,Kookmateriaal,1,1,,,,,,,Err:508,,,,,
211,PVC slakommen,Kookmateriaal,1,16,,,,,,,Err:508,,,,,
212,Aardappelstamper Groot,Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
213,Aardappelstamper klein,Kookmateriaal,1,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
214,Eisnijder,Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
215,Lookpers,Kookmateriaal,1,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
216,Sauslepel plat,Kookmateriaal,1,3,,- € ,- € ,- € ,- € ,,Err:508,,,,,
217,Klopper groot,Kookmateriaal,1,3,,- € ,- € ,- € ,- € ,,Err:508,,,,,
218,Sauslepel,Kookmateriaal,1,2,,,,,,,Err:508,,,,,
219,Pasta lepel,Kookmateriaal,1,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
220,Pollepel klein inox,Kookmateriaal,1,3,,- € ,- € ,- € ,- € ,,Err:508,,,,,
221,Pollepel klein tefal,Kookmateriaal,1,3,,,,,,,Err:508,,,,,
222,Vork tweetand,Kookmateriaal,1,5,,- € ,- € ,- € ,- € ,,Err:508,,,,,
223,Groentenrasp,Kookmateriaal,1,3,,- € ,- € ,- € ,- € ,,Err:508,,,,,
224,Schuimspaan klein,Kookmateriaal,1,6,,- € ,- € ,- € ,- € ,,Err:508,,,,,
225,Vleeskapmes,Kookmateriaal,1,4,,,,,,,Err:508,,,,,
226,Messen slijper,Kookmateriaal,1,1,,,,,,,Err:508,,,,,
227,Dunschillers,Kookmateriaal,1,3,,- € ,- € ,- € ,- € ,,Err:508,,,,,
228,Koksmes,Kookmateriaal,1,3,,- € ,- € ,- € ,- € ,,Err:508,,,,,
229,Steakmessen,Eetmateriaal,2,10,,- € ,1.00 € ,2.50 € ,- € ,,Err:508,,,,,
230,Aardappelmessen,Kookmateriaal,1,18,,- € ,- € ,- € ,- € ,,Err:508,,,,,
231,BBQ brochette stok,Kookmateriaal,1,2,,,,,,,Err:508,,,,,
232,Pizzasnijder,Kookmateriaal,1,1,,,,,,,Err:508,,,,,
233,Kurketrekker,Eetmateriaal,2,24,,- € ,- € ,- € ,- € ,,Err:508,,,,,
234,Blikopeners,Kookmateriaal,1,9,,,,,,,Err:508,,,,,
235,Kroonwipper,Eetmateriaal,2,38,,,,,,,Err:508,,,,,
236,Snijplank hout,Kookmateriaal,1,5,,,,,,,Err:508,,,,,
237,Houten lepel,Kookmateriaal,1,15,,- € ,- € ,- € ,- € ,,Err:508,,,,,
